sigla,nome_pregao,isin,classe,price,change,changepct,setor,subsetor,segmento,codcvm,cnpj,razao_social,cnpj_adm,razao_social_adm,sigla4
AALR3,ALLIAR ON,BRAALRACNOR6,AÇÃO,14.47,-0.06,-0.41,SAÚDE,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,24058,42.771.949/0001-35,CENTRO DE IMAGEM DIAGNOSTICOS S.A.,---,---,AALR
ABCB4,ABC BRASIL PN,BRABCBACNPR4,AÇÃO,18.81,0.11,0.59,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,20958,28.195.667/0001-06,BCO ABC BRASIL S.A.,---,---,ABCB
ABEV3,AMBEV S/A ON,BRABEVACNOR1,AÇÃO,17.34,0.26,1.52,CONSUMO NÃO CÍCLICO,BEBIDAS,CERVEJAS E REFRIGERANTES,23264,07.526.557/0001-00,AMBEV S.A.,---,---,ABEV
ADHM3,ADVANCED-DH ON,BRADHMACNOR9,AÇÃO,1.51,0.01,0.67,SAÚDE,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,21725,10.345.009/0001-98,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,---,---,ADHM
AFLT3,AFLUENTE T ON,BRAFLTACNOR1,AÇÃO,5.30,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,22179,10.338.320/0001-00,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,---,---,AFLT
AGRO3,BRASILAGRO ON,BRAGROACNOR7,AÇÃO,15.56,0.00,0.00,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,20036,07.628.528/0001-59,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,---,---,AGRO
AHEB3,SPTURIS ON,BRAHEBACNOR0,AÇÃO,32.00,0.00,0.00,CONSUMO CÍCLICO,VIAGENS E LAZER,PRODUÇÃO DE EVENTOS E SHOWS,9415,62.002.886/0001-60,SAO PAULO TURISMO S.A.,---,---,AHEB
ALPA3,ALPARGATAS ON,BRALPAACNOR0,AÇÃO,15.20,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,CALÇADOS,10456,61.079.117/0001-05,ALPARGATAS S.A.,---,---,ALPA
ALPA4,ALPARGATAS PN,BRALPAACNPR7,AÇÃO,15.29,-0.06,-0.39,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,CALÇADOS,10456,61.079.117/0001-05,ALPARGATAS S.A.,---,---,ALPA
ALSC3,ALIANSCE ON,BRALSCACNOR0,AÇÃO,18.96,0.09,0.48,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,21300,06.082.980/0001-03,ALIANSCE SHOPPING CENTERS S.A.,---,---,ALSC
ALUP11,ALUPAR UNT,BRALUPCDAM15,AÇÃO,22.88,-0.02,-0.09,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,21490,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,---,---,ALUP
ALUP3,ALUPAR ON,BRALUPACNOR8,AÇÃO,8.30,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,21490,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,---,---,ALUP
ALUP4,ALUPAR PN,BRALUPACNPR5,AÇÃO,7.17,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,21490,08.364.948/0001-38,ALUPAR INVESTIMENTO S/A,---,---,ALUP
AMAR3,LOJAS MARISA ON,BRAMARACNOR4,AÇÃO,7.73,-0.07,-0.90,CONSUMO CÍCLICO,COMÉRCIO,TECIDOS. VESTUÁRIO E CALÇADOS,22055,61.189.288/0001-89,MARISA LOJAS S.A.,---,---,AMAR
ANDG3B,AGCONCESSOES ON,BRANDGACNOR9,AÇÃO,,,,FINANCEIRO,HOLDINGS DIVERSIFICADAS,HOLDINGS DIVERSIFICADAS,19437,03.601.314/0001-38,ANDRADE GUTIERREZ CONCESSOES S.A.,---,---,ANDG
ANIM3,ANIMA ON,BRANIMACNOR6,AÇÃO,18.90,-0.11,-0.58,CONSUMO CÍCLICO,DIVERSOS,SERVIÇOS EDUCACIONAIS,23248,09.288.252/0001-32,GAEC EDUCAÇÃO S/A,---,---,ANIM
APER3,ALPER S.A. ON,BRAPERACNOR9,AÇÃO,24.97,-0.03,-0.12,FINANCEIRO,PREVIDÊNCIA E SEGUROS,CORRETORAS DE SEGUROS,22217,11.721.921/0001-60,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,---,---,APER
ARZZ3,AREZZO CO ON,BRARZZACNOR3,AÇÃO,46.78,-0.62,-1.31,CONSUMO CÍCLICO,COMÉRCIO,TECIDOS. VESTUÁRIO E CALÇADOS,22349,16.590.234/0001-76,AREZZO INDÚSTRIA E COMÉRCIO S.A.,---,---,ARZZ
ATOM3,ATOMPAR ON,BRATOMACNOR1,AÇÃO,1.79,0.00,0.00,OUTROS,OUTROS,OUTROS,15423,00.359.742/0001-08,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,---,---,ATOM
AZEV3,AZEVEDO ON,BRAZEVACNOR0,AÇÃO,3.69,-0.18,-4.65,BENS INDUSTRIAIS,CONSTRUÇÃO E ENGENHARIA,CONSTRUÇÃO PESADA,11975,61.351.532/0001-68,AZEVEDO E TRAVASSOS S.A.,---,---,AZEV
AZEV4,AZEVEDO PN,BRAZEVACNPR7,AÇÃO,0.67,0.01,1.52,BENS INDUSTRIAIS,CONSTRUÇÃO E ENGENHARIA,CONSTRUÇÃO PESADA,11975,61.351.532/0001-68,AZEVEDO E TRAVASSOS S.A.,---,---,AZEV
AZUL4,AZUL PN,BRAZULACNPR4,AÇÃO,33.65,0.02,0.06,BENS INDUSTRIAIS,TRANSPORTE,TRANSPORTE AÉREO,24112,09.305.994/0001-29,AZUL S.A.,---,---,AZUL
B3SA3,B3 ON,BRB3SAACNOR6,AÇÃO,31.69,-0.26,-0.81,FINANCEIRO,SERVIÇOS FINANCEIROS DIVERSOS,SERVIÇOS FINANCEIROS DIVERSOS,21610,09.346.601/0001-25,B3 S.A. - BRASIL BOLSA BALCÃO,---,---,B3SA
BAHI3,BAHEMA ON,BRBAHIACNOR1,AÇÃO,125.00,0.00,0.00,CONSUMO CÍCLICO,DIVERSOS,SERVIÇOS EDUCACIONAIS,701,45.987.245/0001-92,BAHEMA S.A.,---,---,BAHI
BALM3,BAUMER ON,BRBALMACNOR5,AÇÃO,11.00,0.00,0.00,SAÚDE,EQUIPAMENTOS,EQUIPAMENTOS,1562,61.374.161/0001-30,BAUMER S.A.,---,---,BALM
BALM4,BAUMER PN,BRBALMACNPR2,AÇÃO,12.98,0.00,0.00,SAÚDE,EQUIPAMENTOS,EQUIPAMENTOS,1562,61.374.161/0001-30,BAUMER S.A.,---,---,BALM
BAUH4,EXCELSIOR PN,BRBAUHACNPR3,AÇÃO,26.50,0.00,0.00,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,CARNES E DERIVADOS,1570,95.426.862/0001-97,EXCELSIOR ALIMENTOS S.A.,---,---,BAUH
BAZA3,AMAZONIA ON,BRBAZAACNOR0,AÇÃO,27.35,1.35,5.19,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,922,04.902.979/0001-44,BCO AMAZONIA S.A.,---,---,BAZA
BBAS3,BRASIL ON,BRBBASACNOR3,AÇÃO,48.20,-0.65,-1.33,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,1023,00.000.000/0001-91,BCO BRASIL S.A.,---,---,BBAS
BBDC3,BRADESCO ON,BRBBDCACNOR1,AÇÃO,29.96,-0.49,-1.61,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,906,60.746.948/0001-12,BCO BRADESCO S.A.,---,---,BBDC
BBDC4,BRADESCO PN,BRBBDCACNPR8,AÇÃO,34.40,-0.35,-1.01,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,906,60.746.948/0001-12,BCO BRADESCO S.A.,---,---,BBDC
BBRK3,BR BROKERS ON,BRBBRKACNOR4,AÇÃO,4.98,-0.04,-0.80,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,INTERMEDIAÇÃO IMOBILIÁRIA,21180,08.613.550/0001-98,BRASIL BROKERS PARTICIPACOES S.A.,---,---,BBRK
