sigla,date,price
ABCP11,20040527,4
ABCP11,20040628,3.9
ABCP11,20040730,3.9
ABCP11,20040830,3.9
ABCP11,20060224,4.1
ABCP11,20060531,4.25
ABCP11,20060630,4.2
ABCP11,20060731,4.3
ABCP11,20060830,4.3
ABCP11,20070320,4.9
ABCP11,20070724,10
ABCP11,20070927,9
ABCP11,20080118,6
ABCP11,20080229,8.98
ABCP11,20080331,8
ABCP11,20080428,8
ABCP11,20080528,7
ABCP11,20080626,6.4
ABCP11,20080925,7.9
ABCP11,20081030,7.5
ABCP11,20081128,6.8
ABCP11,20081219,6.05
ABCP11,20090130,5.79
ABCP11,20090227,6
ABCP11,20090330,5.7
ABCP11,20090429,6
ABCP11,20090529,6
ABCP11,20090630,7
ABCP11,20090714,7.1
ABCP11,20090831,8.5
ABCP11,20090921,8.4
ABCP11,20091022,9.31
ABCP11,20091127,8.82
ABCP11,20091229,9.49
ABCP11,20100129,9.95
ABCP11,20100226,9.94
ABCP11,20100331,9.1
ABCP11,20100430,9.38
ABCP11,20100531,8.36
ABCP11,20100629,8.44
ABCP11,20100729,8.5
ABCP11,20100827,8.22
ABCP11,20100930,8.46
ABCP11,20101029,8.15
ABCP11,20101130,8.28
ABCP11,20101230,8.2
ABCP11,20110128,8.49
ABCP11,20110228,8.07
ABCP11,20110330,8.2
ABCP11,20110429,8
ABCP11,20110531,8.15
ABCP11,20110630,7.7
ABCP11,20110729,7.91
ABCP11,20110825,7.7
ABCP11,20110930,7.94
ABCP11,20111031,7.8
ABCP11,20111130,8
ABCP11,20111227,8
ABCP11,20120131,8
ABCP11,20120229,8.34
ABCP11,20120330,8.35
ABCP11,20120430,8.4
ABCP11,20120530,8.5
ABCP11,20120627,9.01
ABCP11,20120731,9.9
ABCP11,20120830,9.45
ABCP11,20120928,10.44
ABCP11,20121031,10.25
ABCP11,20121130,9.36
ABCP11,20121228,9.7
ABCP11,20130131,9.86
ABCP11,20130228,10.15
ABCP11,20130328,10
ABCP11,20130430,9.2
ABCP11,20130531,9.45
ABCP11,20130628,9.21
ABCP11,20130731,9
ABCP11,20130830,9.46
ABCP11,20130930,9.98
ABCP11,20131031,9.9
ABCP11,20131129,9.95
ABCP11,20131223,9.89
ABCP11,20140131,9.45
ABCP11,20140228,10
ABCP11,20140331,9.9
ABCP11,20140430,10.4
ABCP11,20140530,10.1
ABCP11,20140630,10.2
ABCP11,20140731,10.28
ABCP11,20140829,10.1
ABCP11,20140930,10.1
ABCP11,20141031,9.85
ABCP11,20141128,10.2
ABCP11,20141230,9.72
ABCP11,20150130,10.3
ABCP11,20150227,10.95
ABCP11,20150331,10.3
ABCP11,20150430,10.3
ABCP11,20150529,10.49
ABCP11,20150630,10.9
ABCP11,20150731,10.85
ABCP11,20150831,10.15
ABCP11,20150929,10.16
ABCP11,20151030,10.1
ABCP11,20151130,9.94
ABCP11,20151230,9.5
ABCP11,20160129,9.4
ABCP11,20160229,9.5
ABCP11,20160331,9.74
ABCP11,20160429,10.21
ABCP11,20160531,9.7
ABCP11,20160630,11
ABCP11,20160729,11.5
ABCP11,20160831,11.7
ABCP11,20160929,11.6
ABCP11,20161031,11.7
ABCP11,20161130,11.95
ABCP11,20161229,12.05
ABCP11,20170131,13.2
ABCP11,20170224,14.02
ABCP11,20170331,15.9
ABCP11,20170428,15.9
ABCP11,20170531,16.01
ABCP11,20170630,16.5
ABCP11,20170731,16.45
ABCP11,20170831,16.5
ABCP11,20170929,18.5
ABCP11,20171031,15.63
ABCP11,20171130,16.28
ABCP11,20171228,16.09
ABCP11,20180131,16.97
ABCP11,20180228,16.77
ABCP11,20180329,16.4
ABCP11,20180430,16.1
ABCP11,20180530,15.48
ABCP11,20180629,14.4
ABCP11,20180731,15.75
ABCP11,20180831,16.32
ABCP11,20180928,16.2
ABCP11,20181031,16.6
ABCP11,20181130,16.7
ABCP11,20181228,17.3
ABCP11,20190131,18.74
ABCP11,20190228,99.9
ABCP11,20190329,109
ABCP11,20190430,102.1
