sigla,date,price
GGRC11,20170531,104.49
GGRC11,20170630,110
GGRC11,20170731,115
GGRC11,20170831,118.89
GGRC11,20170929,123.86
GGRC11,20171031,125.32
GGRC11,20171130,120.96
GGRC11,20171228,133.9
GGRC11,20180131,132.5
GGRC11,20180228,130
GGRC11,20180329,132.12
GGRC11,20180430,134.05
GGRC11,20180530,130.27
GGRC11,20180629,121.6
GGRC11,20180731,121.5
GGRC11,20180831,126
GGRC11,20180928,122.4
GGRC11,20181031,123.52
GGRC11,20181130,127.85
GGRC11,20181228,134.89
GGRC11,20190131,131.98
GGRC11,20190228,129.6
GGRC11,20190329,132
GGRC11,20190430,132.5
