sigla,date,price
PETR4,20000131,408
PETR4,20000229,460
PETR4,20000331,472
PETR4,20000428,430.1
PETR4,20000531,419
PETR4,20000630,54.5
PETR4,20000731,46.82
PETR4,20000831,55.1
PETR4,20000929,52.7
PETR4,20001031,50.61
PETR4,20001130,47.5
PETR4,20001228,45.78
PETR4,20010131,54.51
PETR4,20010228,54.91
PETR4,20010330,46.97
PETR4,20010430,53.4
PETR4,20010531,59.8
PETR4,20010629,53.99
PETR4,20010731,54.2
PETR4,20010831,55
PETR4,20010928,51.3
PETR4,20011031,51.9
PETR4,20011130,49.1
PETR4,20011228,51.15
PETR4,20020131,48.1
PETR4,20020228,56.1
PETR4,20020328,57.75
PETR4,20020430,54.92
PETR4,20020531,54.52
PETR4,20020628,49.1
PETR4,20020731,40.91
PETR4,20020830,44
PETR4,20020930,36.9
PETR4,20021031,44.3
PETR4,20021129,44.45
PETR4,20021230,46.4
PETR4,20030131,47.51
PETR4,20030228,42.69
PETR4,20030331,46.4
PETR4,20030430,49.89
PETR4,20030530,52.79
PETR4,20030630,50.9
PETR4,20030731,56.5
PETR4,20030829,60.8
PETR4,20030930,60.65
PETR4,20031031,63
PETR4,20031128,66.88
PETR4,20031230,76.4
PETR4,20040130,78.29
PETR4,20040227,82
PETR4,20040331,85.5
PETR4,20040430,74.7
PETR4,20040531,71.78
PETR4,20040630,77.31
PETR4,20040730,78.1
PETR4,20040831,82
PETR4,20040930,93.84
PETR4,20041029,93.45
PETR4,20041130,92.9
PETR4,20041230,97.15
PETR4,20050131,94.3
PETR4,20050228,111.23
PETR4,20050331,103.15
PETR4,20050429,94.5
PETR4,20050531,100.55
PETR4,20050630,107.3
PETR4,20050729,108.98
PETR4,20050831,130
PETR4,20050930,35.65
PETR4,20051031,32.21
PETR4,20051130,34.25
PETR4,20051229,37.21
PETR4,20060131,47
PETR4,20060224,44.75
PETR4,20060331,43.14
PETR4,20060428,46.23
PETR4,20060531,44
PETR4,20060630,43.18
PETR4,20060731,44.9
PETR4,20060831,43
PETR4,20060929,40.59
PETR4,20061031,43
PETR4,20061130,45.83
PETR4,20061228,49.8
PETR4,20070131,46.87
PETR4,20070228,42.88
PETR4,20070330,46.14
PETR4,20070430,45.2
PETR4,20070531,45.94
PETR4,20070629,51.64
PETR4,20070731,52.71
PETR4,20070831,52.2
PETR4,20070928,59.2
PETR4,20071031,72.02
PETR4,20071130,71.9
PETR4,20071228,88.4
PETR4,20080131,80.4
PETR4,20080229,81.45
PETR4,20080331,73.99
PETR4,20080430,42.2
PETR4,20080530,49
PETR4,20080630,46.21
PETR4,20080731,35.9
PETR4,20080829,34.9
PETR4,20080930,35.1
PETR4,20081031,23.31
PETR4,20081128,20.06
PETR4,20081230,22.84
PETR4,20090130,25.03
PETR4,20090227,26.4
PETR4,20090331,28.55
PETR4,20090430,29.54
PETR4,20090529,34.45
PETR4,20090630,32.45
PETR4,20090731,31.47
PETR4,20090831,31.38
PETR4,20090930,35
PETR4,20091030,35.04
PETR4,20091130,38.8
PETR4,20091230,36.69
PETR4,20100129,34.17
PETR4,20100226,34.61
PETR4,20100331,35.39
PETR4,20100430,32.8
PETR4,20100531,29.6
PETR4,20100630,26.86
PETR4,20100730,27.85
PETR4,20100831,26.06
PETR4,20100930,27.29
PETR4,20101029,25.85
PETR4,20101130,24.59
PETR4,20101230,27.29
PETR4,20110131,27.09
PETR4,20110228,28.58
PETR4,20110331,28.51
PETR4,20110429,25.6
PETR4,20110531,24.09
PETR4,20110630,23.72
PETR4,20110729,23.5
PETR4,20110831,20.8
PETR4,20110930,19.1
PETR4,20111031,21.32
PETR4,20111130,22.05
PETR4,20111229,21.49
PETR4,20120131,24.57
PETR4,20120229,24.31
PETR4,20120330,23.35
PETR4,20120430,21.29
PETR4,20120531,19.13
PETR4,20120629,18.25
PETR4,20120731,19.5
PETR4,20120831,20.75
PETR4,20120928,22.37
PETR4,20121031,20.8
PETR4,20121130,18.66
PETR4,20121228,19.52
PETR4,20130131,18.08
PETR4,20130228,16.61
PETR4,20130328,18.35
PETR4,20130430,20.09
PETR4,20130531,20.05
PETR4,20130628,16.18
PETR4,20130731,16.29
PETR4,20130830,16.8
PETR4,20130930,18.36
PETR4,20131031,20.43
PETR4,20131129,19.12
PETR4,20131230,17.08
PETR4,20140131,14.7
PETR4,20140228,13.59
PETR4,20140331,15.78
PETR4,20140430,16.57
PETR4,20140530,16.69
PETR4,20140630,17.29
PETR4,20140731,19.1
PETR4,20140829,23.35
PETR4,20140930,18.09
PETR4,20141031,15.28
PETR4,20141128,12.8
PETR4,20141230,10.02
PETR4,20150130,8.18
PETR4,20150227,9.57
PETR4,20150331,9.73
PETR4,20150430,13.05
PETR4,20150529,12.33
PETR4,20150630,12.71
PETR4,20150731,10.5
PETR4,20150831,9.19
PETR4,20150930,7.24
PETR4,20151030,7.71
PETR4,20151130,7.67
PETR4,20151230,6.7
PETR4,20160129,4.84
PETR4,20160229,5.14
PETR4,20160331,8.35
PETR4,20160429,10.23
PETR4,20160531,8.04
PETR4,20160630,9.42
PETR4,20160729,11.87
PETR4,20160831,12.85
PETR4,20160930,13.57
PETR4,20161031,17.69
PETR4,20161130,16
PETR4,20161229,14.87
PETR4,20170131,15.02
PETR4,20170224,15.18
PETR4,20170331,14.49
PETR4,20170428,13.97
PETR4,20170531,12.96
PETR4,20170630,12.37
PETR4,20170731,13.29
PETR4,20170831,13.65
PETR4,20170929,15.3
PETR4,20171031,16.77
PETR4,20171130,15.38
PETR4,20171228,16.1
PETR4,20180131,19.7
PETR4,20180228,21.46
PETR4,20180329,21.41
PETR4,20180430,22.97
PETR4,20180530,18.98
PETR4,20180629,17.19
PETR4,20180731,19.72
PETR4,20180831,19.26
PETR4,20180928,21.09
PETR4,20181031,27.62
PETR4,20181130,25.46
PETR4,20181228,22.68
PETR4,20190131,25.58
PETR4,20190228,27.06
PETR4,20190329,28.06
PETR4,20190430,27.11
PETR4,20190531,25.55
